,Discipline,Name,NOC
0,Athletics,2068,2068
1,Swimming,743,743
2,Football,567,567
3,Rowing,496,496
4,Hockey,406,406
5,Judo,373,373
6,Handball,343,343
7,Shooting,342,342
8,Sailing,336,336
9,Rugby Sevens,283,283
10,Basketball,280,280
11,Wrestling,279,279
12,Volleyball,274,274
13,Boxing,270,270
14,Water Polo,269,269
15,Fencing,249,249
16,Equestrian,237,237
17,Canoe Sprint,236,236
18,Baseball/Softball,220,220
19,Cycling Track,208,208
20,Cycling Road,190,190
21,Artistic Gymnastics,187,187
22,Weightlifting,187,187
23,Tennis,178,178
24,Table Tennis,164,164
25,Badminton,164,164
26,Diving,133,133
27,Taekwondo,123,123
28,Archery,122,122
29,Golf,115,115
30,Triathlon,106,106
31,Artistic Swimming,98,98
32,Rhythmic Gymnastics,95,95
33,Beach Volleyball,90,90
34,Canoe Slalom,78,78
35,Skateboarding,77,77
36,Karate,77,77
37,Cycling Mountain Bike,74,74
38,Modern Pentathlon,69,69
39,3x3 Basketball,62,62
40,Marathon Swimming,49,49
41,Cycling BMX Racing,43,43
42,Surfing,38,38
43,Sport Climbing,37,37
44,Trampoline Gymnastics,31,31
45,Cycling BMX Freestyle,19,19
